recording url,ID,Done
https://cloudphone.tatateleservices.com/file/recording?callId=1762944154.397801&type=rec&token=d3pEbzhzS3cwNGFRbnVpSGpBbG1YOXlxZFY0NlVHU2tGSllrcFdqZmVYR1FPUFl2V1pHREpDcGtLaWl4a3BSdzo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762944154.397801,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762944369.217062&type=rec&token=RXNQQnpnZkRqL0liNUtwcU5Xa09LblZvWXNGUkYwMHc3dzBIUHY0SkRwajJXMWNNV2s0eHN3WUpGUGp0MDhWNjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762944369.217062,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762925852.329867&type=rec&token=SkhyakFMbW44blZkaXQ5TjlLRnpvR1VqSW5Eb212YXNYVGgzUFJnTHdhTWJ2aVRTam51MDNrNzN6OXBJcnk1Mjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762925852.329867,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762945742.82652&type=rec&token=UGthMGQ3NFJ2dVQ4aWllVDdOTEhvNGNMQWVGamxRZjlyWVA4L0p5UnJJR1Z1UnVVVzVpM0JrdFpkZnphM0FWSjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762945742.82652,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762943853.385759&type=rec&token=N0ozWkRBZmRvOVY3aWVDQUE3Y2tGMFd3QXZEaENvMnlTcnQwbTV1MThlWVZHOVdpdGJJVXo2RHkxTmx3VmxUaTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762943853.385759,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762943105.401086&type=rec&token=WVpSZTFiRlc2OTNrQ1ZBcUJUdFhWL1RCbk40bmlmZXozeHo1OTdDOHpIS0NINm01RzM1NXlvNkhuSUFxWGhXWjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762943105.401086,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762934089.450080&type=rec&token=S2MzaGllR1NHdUxKU0JrTzNodUlEeEtZOFZlem4zVWp6NFJkSGhqSmhyak5mcWZ2WkgySDBac0pzYVk2NkUvZzo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762934089.450080,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762948051.84673&type=rec&token=MjhQUVplYWpZY3M5OUVCVE9uNEJONkk1OGZUQ2NWSXZ4NGNjbW5nL2UvNEdCaEdtUzFpYjlOUXFCSnJGRW94Njo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762948051.84673,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762940188.78121&type=rec&token=cnRYaThRUHNkQ2g0WFAvRHoyTEZqNDd6d0RsNEp4encrT202ekVScEwrUHoyZjV5VXU4c05vMVhmMU5HalV6bzo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762940188.78121,
https://cloudphone.tatateleservices.com/file/recording?callId=1762932187.71822&type=rec&token=bTdGN1M3OVhvTExBeko4LzFLNWF3ODBFZFpxOFRYZURQa1NCaVZGQ1Y2d0pYZnAyZ1V0Z1RTN0xTSktTOTFMTjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762932187.71822,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762923600.65171&type=rec&token=aGNGbXkzbS9mNEl0bnVxVzZpU2pHSTlYWGNzMm14MXJIK3lvTnN0NlRod0pvbXNDM0FjbmNjakwzbTJBSGplWjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762923600.65171,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762952336.87880&type=rec&token=ZUJ5b1NybkdudkcxSlA0dHBncmRxY3hjRVZKSFp3QlB4dDNaMWR0T1IyaVVYYVhaRE5xTCswVHN3d2FQU3dzUjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762952336.87880,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762945980.82837&type=rec&token=eHFncGtnb0R1OEhhL3EvRXBHZGV4YkVqdmZmbWxHeHY1eC9CODV1dlVucXRMMnB1c2pjV25iN2tHZUFIZ3U1dTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762945980.82837,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762952738.129196&type=rec&token=NkxmQlpkU2ZOaE55dFVJS3ltYWpnZTliV2VocDA4Qy9MMXE5OHlZWmZKeklya0F4c0NTdlF2YmhqZXdTb3hpWTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762952738.129196,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762930182.341927&type=rec&token=cVR3VDk3dHRMUitaZGVZWUtIZHVKSS9Jamh0Q2xXbnBqSUlRUFRsSjF3dXVhTlloMTg4RTljeWgzaytlWlkzMzo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762930182.341927,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762936365.75228&type=rec&token=RFN6VHNJbVljcUpEY0lmNDRLa0docmRFTHBJTk8reENrUE5DaGFNaFc0b3g3MERRNXBkNjBxVldwaTlEL21peTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762936365.75228,
https://cloudphone.tatateleservices.com/file/recording?callId=1762945910.82782&type=rec&token=TEhmSitwTXMzZGYwTElWZFdUQUJkanZWK2ZkenRhYVBGOGRBSGNlcWJzUXlUVjJMT3FJWEdNcytRUEZQcmM5Qjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762945910.82782,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762948756.85255&type=rec&token=ZW5vTTE0N0tYVlpyZU4rZ1hCQ1YwcTltSUdpWXE0Q0p3TjFWNVFDSlpxbGdwV2xyM0x2cFRhRnZKZjdObm5oRjo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762948756.85255,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762925637.325846&type=rec&token=YUVDOE05dGxxeTF6c1ZpK2M0RUhYWjRtVGZGN2E0R3U5NWdkTTFBdWJLa29HZEdxa0NHZEhzUVFBYkNYVUsxUDo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762925637.325846,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762928365.68448&type=rec&token=UG1LbjM1N1Nvd0NqSWtLa1FLSkgwQUp3UFd3aUZKS3phK0ppS2xwZ3J4UEt2Z21hOU81TUlya3hIaE1iSHYxSDo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762928365.68448,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762864698.278051&type=rec&token=cFFpSmRxQm9NSmZIZmpHeWNJaFQrSkRoT3FKSVBEM1BDRXZGUkp3WkRtZWJyb09nY2Q4RE9JdDhqRkpPckFsRzo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762864698.278051,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762859571.272396&type=rec&token=aTJPaU10Y3ZXNG5xYjEwWjdGOFpGMjczeWpwaVpGbEw3QW5KZlVXalhoT2hYaVkrbW96Q2JsLy9UTzFrSHFnVTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762859571.272396,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762837325.32994&type=rec&token=QkRmam9HVzI3UTdTNXhvWlBCaUxMWkJraFBKUEFYZ3BuZ0dNdGF2aUE1M3VoNHoya0gxcDVlZ1lIZjZpUjZTRTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762837325.32994,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762845897.39559&type=rec&token=RkNKV2hkTFJsYUMvM0tCbnJMczcvd2lPcjRrUE5tUk1MbWkzWDhVRCtOdVdETU55QjZzVmlMbmVHY0dtL1lrazo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762845897.39559,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762856231.47645&type=rec&token=SFZ4amJPVE81V3ZHQUwxYlg1VUVNMi8vWjNGeGd1dkNsRVJTYXcxY1hSVWhEdDFjRFZmbnI3aHFPYjZtZzRVaTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762856231.47645,YES
https://cloudphone.tatateleservices.com/file/recording?callId=1762847015.127729&type=rec&token=QSs3OERmcitHTFhiL2RJYkcwc2R1UXM4MmJGTGVqNUhldWk0QlVrcG9PR092TDlWNUs0ZDlBbW1IUmxBNytWWTo6YWIxMjM0Y2Q1NnJ0eXl1dQ%3D%3D,1762847015.127729,YES
